ranking,score,title,number_of_episodes,emission_date,number_members,url
100,8.56,Kimi no Suizou wo Tabetai,Movie (1 eps),Sep 2018 - Sep 2018,"877,813 members",https://myanimelist.net/anime/36098/Kimi_no_Suizou_wo_Tabetai
101,8.55,Fate/Zero 2nd Season,TV (12 eps),Apr 2012 - Jun 2012,"1,064,771 members",https://myanimelist.net/anime/11741/Fate_Zero_2nd_Season
102,8.55,Karakai Jouzu no Takagi-san Movie,Movie (1 eps),Jun 2022 - Jun 2022,"54,246 members",https://myanimelist.net/anime/49722/Karakai_Jouzu_no_Takagi-san_Movie
103,8.55,Zoku Natsume Yuujinchou,TV (13 eps),Jan 2009 - Mar 2009,"237,769 members",https://myanimelist.net/anime/5300/Zoku_Natsume_Yuujinchou
104,8.55,Neon Genesis Evangelion: The End of Evangelion,Movie (1 eps),Jul 1997 - Jul 1997,"865,775 members",https://myanimelist.net/anime/32/Neon_Genesis_Evangelion__The_End_of_Evangelion
105,8.54,Mushishi: Hihamukage,Special (1 eps),Jan 2014 - Jan 2014,"132,161 members",https://myanimelist.net/anime/21329/Mushishi__Hihamukage
106,8.54,Nana,TV (47 eps),Apr 2006 - Mar 2007,"609,686 members",https://myanimelist.net/anime/877/Nana
107,8.54,Perfect Blue,Movie (1 eps),Feb 1998 - Feb 1998,"638,991 members",https://myanimelist.net/anime/437/Perfect_Blue
108,8.54,Slam Dunk,TV (101 eps),Oct 1993 - Mar 1996,"279,025 members",https://myanimelist.net/anime/170/Slam_Dunk
109,8.54,Haikyuu!! To the Top Part 2,TV (12 eps),Oct 2020 - Dec 2020,"742,649 members",https://myanimelist.net/anime/40776/Haikyuu_To_the_Top_Part_2
110,8.53,Bakuman. 3rd Season,TV (25 eps),Oct 2012 - Mar 2013,"318,909 members",https://myanimelist.net/anime/12365/Bakuman_3rd_Season
111,8.53,Kara no Kyoukai Movie 5: Mujun Rasen,Movie (1 eps),Aug 2008 - Aug 2008,"229,023 members",https://myanimelist.net/anime/4282/Kara_no_Kyoukai_Movie_5__Mujun_Rasen
112,8.53,Shingeki no Kyojin,TV (25 eps),Apr 2013 - Sep 2013,"3,697,163 members",https://myanimelist.net/anime/16498/Shingeki_no_Kyojin
113,8.53,Shoujo☆Kageki Revue Starlight Movie,Movie (1 eps),Jun 2021 - Jun 2021,"15,238 members",https://myanimelist.net/anime/40664/Shoujo☆Kageki_Revue_Starlight_Movie
114,8.53,Sora yori mo Tooi Basho,TV (13 eps),Jan 2018 - Mar 2018,"473,037 members",https://myanimelist.net/anime/35839/Sora_yori_mo_Tooi_Basho
115,8.53,Steins;Gate 0,TV (23 eps),Apr 2018 - Sep 2018,"819,750 members",https://myanimelist.net/anime/30484/Steins_Gate_0
116,8.53,Yuru Camp△ Season 2,TV (13 eps),Jan 2021 - Apr 2021,"202,766 members",https://myanimelist.net/anime/38474/Yuru_Camp△_Season_2
117,8.52,Yakusoku no Neverland,TV (12 eps),Jan 2019 - Mar 2019,"1,840,371 members",https://myanimelist.net/anime/37779/Yakusoku_no_Neverland
118,8.52,Gintama Movie 1: Shinyaku Benizakura-hen,Movie (1 eps),Apr 2010 - Apr 2010,"155,493 members",https://myanimelist.net/anime/7472/Gintama_Movie_1__Shinyaku_Benizakura-hen
