ranking,score,title,number_of_episodes,emission_date,number_members,url,studio,themes,genres,demographics
76,8.62,Ping Pong the Animation,TV (11 eps),Apr 2014 - Jun 2014,"369,139 members",https://myanimelist.net/anime/22135/Ping_Pong_the_Animation,Tatsunoko Production,,"Award Winning, Drama, Sports",Seinen
77,8.62,Shingeki no Kyojin Season 3,TV (12 eps),Jul 2018 - Oct 2018,"2,170,189 members",https://myanimelist.net/anime/35760/Shingeki_no_Kyojin_Season_3,Wit Studio,"Gore, Military, Survival","Action, Drama",Shounen
78,8.62,Chainsaw Man,TV (12 eps),Oct 2022 - Dec 2022,"1,193,217 members",https://myanimelist.net/anime/44511/Chainsaw_Man,MAPPA,Gore,"Action, Fantasy",Shounen
79,8.62,Death Note,TV (37 eps),Oct 2006 - Jun 2007,"3,661,440 members",https://myanimelist.net/anime/1535/Death_Note,Madhouse,"Detective, Psychological","Supernatural, Suspense",Shounen
80,8.61,Cyberpunk: Edgerunners,ONA (10 eps),Sep 2022 - Sep 2022,"528,999 members",https://myanimelist.net/anime/42310/Cyberpunk__Edgerunners,Trigger,"Gore, Psychological","Action, Sci-Fi",
81,8.61,Evangelion: 3.0+1.0 Thrice Upon a Time,Movie (1 eps),Mar 2021 - Mar 2021,"337,970 members",https://myanimelist.net/anime/3786/Evangelion__30_10_Thrice_Upon_a_Time,Khara,"Mecha, Psychological","Action, Award Winning, Drama, Sci-Fi, Suspense",
82,8.61,Suzumiya Haruhi no Shoushitsu,Movie (1 eps),Feb 2010 - Feb 2010,"584,674 members",https://myanimelist.net/anime/7311/Suzumiya_Haruhi_no_Shoushitsu,Kyoto Animation,School,"Award Winning, Mystery, Sci-Fi, Supernatural",
83,8.6,Mushishi Zoku Shou: Suzu no Shizuku,Movie (1 eps),May 2015 - May 2015,"121,665 members",https://myanimelist.net/anime/28957/Mushishi_Zoku_Shou__Suzu_no_Shizuku,Artland,"Adult Cast, Historical, Iyashikei","Adventure, Fantasy, Mystery, Slice of Life, Supernatural",Seinen
84,8.6,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Movie (1 eps),Jun 2019 - Jun 2019,"651,682 members",https://myanimelist.net/anime/38329/Seishun_Buta_Yarou_wa_Yumemiru_Shoujo_no_Yume_wo_Minai,CloverWorks,School,"Drama, Romance, Supernatural",
85,8.59,Suzume no Tojimari,Movie (1 eps),Nov 2022 - Nov 2022,"142,560 members",https://myanimelist.net/anime/50594/Suzume_no_Tojimari,CoMix Wave Films,,Fantasy,
86,8.59,Hajime no Ippo: Rising,TV (25 eps),Oct 2013 - Mar 2014,"236,694 members",https://myanimelist.net/anime/19647/Hajime_no_Ippo__Rising,Madhouse,Combat Sports,Sports,Shounen
87,8.58,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,TV (39 eps),Oct 2018 - Jul 2019,"938,685 members",https://myanimelist.net/anime/37991/JoJo_no_Kimyou_na_Bouken_Part_5__Ougon_no_Kaze,David Production,Organized Crime,"Action, Adventure, Supernatural",Shounen
88,8.58,Kizumonogatari II: Nekketsu-hen,Movie (1 eps),Aug 2016 - Aug 2016,"419,610 members",https://myanimelist.net/anime/31757/Kizumonogatari_II__Nekketsu-hen,Shaft,Vampire,"Action, Mystery, Supernatural",
89,8.58,Natsume Yuujinchou San,TV (13 eps),Jul 2011 - Sep 2011,"241,005 members",https://myanimelist.net/anime/10379/Natsume_Yuujinchou_San,Brain's Base,"Iyashikei, Mythology","Drama, Slice of Life, Supernatural",Shoujo
90,8.58,Ookami Kodomo no Ame to Yuki,Movie (1 eps),Jul 2012 - Jul 2012,"775,030 members",https://myanimelist.net/anime/12355/Ookami_Kodomo_no_Ame_to_Yuki,Studio Chizu,Childcare,"Award Winning, Fantasy, Slice of Life",
91,8.57,Natsume Yuujinchou Go,TV (11 eps),Oct 2016 - Dec 2016,"174,546 members",https://myanimelist.net/anime/32983/Natsume_Yuujinchou_Go,Shuka,"Iyashikei, Mythology","Drama, Slice of Life, Supernatural",Shoujo
92,8.57,Shouwa Genroku Rakugo Shinjuu,TV (13 eps),Jan 2016 - Apr 2016,"278,894 members",https://myanimelist.net/anime/28735/Shouwa_Genroku_Rakugo_Shinjuu,Studio Deen,"Historical, Love Polygon, Performing Arts",Drama,Josei
93,8.57,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,Movie (1 eps),Apr 2009 - Apr 2009,"204,861 members",https://myanimelist.net/anime/4565/Tengen_Toppa_Gurren_Lagann_Movie_2__Lagann-hen,Gainax,"Mecha, Space, Super Power","Action, Sci-Fi",
